"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31384","Q3 performance_glitch_user Test","chromium","2026-05-10","passed","2026-05-10","Z to A Purchase Flow test","zToAPurchaseFlow.spec.js","",""
"","11927","Locked Out User Test","firefox","2026-05-10","passed","2026-05-10","Login Test","lockedOutUser.spec.js","",""
"","36787","Q3 performance_glitch_user Test","webkit","2026-05-10","passed","2026-05-10","Z to A Purchase Flow test","zToAPurchaseFlow.spec.js","",""
"","24215","Q2 standard-user Purchase Test","firefox","2026-05-10","passed","2026-05-10","Purchase Flow for standard-user","purchaseFlow.spec.js","",""
"","9080","Locked Out User Test","webkit","2026-05-10","passed","2026-05-10","Login Test","lockedOutUser.spec.js","",""
"","29329","Q2 standard-user Purchase Test","webkit","2026-05-10","passed","2026-05-10","Purchase Flow for standard-user","purchaseFlow.spec.js","",""
"","22585","Q2 standard-user Purchase Test","chromium","2026-05-10","passed","2026-05-10","Purchase Flow for standard-user","purchaseFlow.spec.js","",""
"","10698","Locked Out User Test","chromium","2026-05-10","passed","2026-05-10","Login Test","lockedOutUser.spec.js","",""
"","32825","Q3 performance_glitch_user Test","firefox","2026-05-10","passed","2026-05-10","Z to A Purchase Flow test","zToAPurchaseFlow.spec.js","",""
